--- Front number 0 has 100 solutions ---

Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing

 1.103658536585366 , 2.75 , 2.1707317073170733 , 1.0 , 7.017241379310345 , 0.5862068965517241 , 2.107488057919092 , 0.6379310344827587 , 3.9520722125411307 , 0.16379310344827586 , 0.06896551724137931
 1.0975609756097562 , 2.841463414634146 , 2.268292682926829 , 1.0 , 6.898305084745763 , 0.5254237288135594 , 2.0758236114168316 , 0.6440677966101694 , 3.449476704991891 , 0.2076271186440678 , 0.06779661016949153
 1.0858895705521472 , 2.8220858895705523 , 2.263803680981595 , 1.0 , 6.898305084745763 , 0.5423728813559322 , 2.134081737471568 , 0.6610169491525424 , 3.554205779902352 , 0.24293785310734461 , 0.06779661016949153
 1.0714285714285714 , 2.8181818181818183 , 2.279220779220779 , 1.0 , 6.564516129032258 , 0.5161290322580645 , 2.647947214076246 , 0.6451612903225806 , 3.3473353017619845 , 0.18279569892473116 , 0.06451612903225806
 1.0909090909090908 , 2.811688311688312 , 2.2662337662337664 , 1.0 , 6.4603174603174605 , 0.5238095238095238 , 2.6307840307840307 , 0.6666666666666666 , 3.221789613772473 , 0.16666666666666666 , 0.06349206349206349
 1.108974358974359 , 2.826923076923077 , 2.2628205128205128 , 1.0 , 6.4603174603174605 , 0.5238095238095238 , 2.555916305916305 , 0.6666666666666666 , 3.2421475502091495 , 0.18253968253968253 , 0.06349206349206349
 1.1533333333333333 , 2.84 , 2.2533333333333334 , 1.0 , 6.328125 , 0.515625 , 3.177109066205533 , 0.6875 , 3.3628160440368653 , 0.13020833333333331 , 0.0625
 1.281437125748503 , 2.8263473053892216 , 2.2035928143712575 , 1.0 , 5.884057971014493 , 0.42028985507246375 , 1.6855512433726045 , 0.5942028985507246 , 4.0014916229908755 , 0.15942028985507245 , 0.057971014492753624
 1.2545454545454546 , 2.7696969696969695 , 2.1636363636363636 , 1.0 , 5.638888888888889 , 0.4027777777777778 , 1.615088460083931 , 0.5694444444444444 , 3.9340961701585715 , 0.1736111111111111 , 0.05555555555555555
 1.2899408284023668 , 2.757396449704142 , 2.136094674556213 , 1.0 , 5.2894736842105265 , 0.40789473684210525 , 1.504136122585779 , 0.5657894736842105 , 3.4855843477979462 , 0.125 , 0.05263157894736842
 1.3149171270718232 , 2.7900552486187844 , 2.1215469613259668 , 1.0 , 5.220779220779221 , 0.4025974025974026 , 1.6445740579139785 , 0.5714285714285714 , 3.542101048241498 , 0.14935064935064934 , 0.05194805194805195
 1.2472527472527473 , 2.769230769230769 , 2.1153846153846154 , 1.0 , 5.0886075949367084 , 0.3924050632911392 , 1.5270026906378034 , 0.569620253164557 , 3.487539836661541 , 0.1962025316455696 , 0.05063291139240506
 1.25 , 2.7666666666666666 , 2.1166666666666667 , 1.0 , 5.0125 , 0.3875 , 1.557776268115942 , 0.5625 , 3.4586160984497396 , 0.15625 , 0.0625
 1.2637362637362637 , 2.802197802197802 , 2.142857142857143 , 1.0 , 4.962962962962963 , 0.38271604938271603 , 1.8009259259259256 , 0.5679012345679012 , 3.476819179212269 , 0.15432098765432098 , 0.06172839506172839
 1.2333333333333334 , 2.7666666666666666 , 2.1277777777777778 , 1.0 , 4.843373493975903 , 0.37349397590361444 , 1.5472891566265061 , 0.5421686746987951 , 3.470500340354518 , 0.10843373493975904 , 0.07228915662650602
 1.1676300578034682 , 2.7630057803468207 , 2.161849710982659 , 1.0 , 4.821428571428571 , 0.3333333333333333 , 1.5283730158730158 , 0.5357142857142857 , 3.3233427448017263 , 0.09325396825396826 , 0.07142857142857142
 1.1775147928994083 , 2.775147928994083 , 2.171597633136095 , 1.0 , 4.764705882352941 , 0.32941176470588235 , 1.347456582633053 , 0.5294117647058824 , 3.3999093743071147 , 0.0892156862745098 , 0.07058823529411765
 1.1588235294117648 , 2.7705882352941176 , 2.1705882352941175 , 1.0 , 4.776470588235294 , 0.32941176470588235 , 1.3592212885154058 , 0.5411764705882353 , 3.391164991562635 , 0.09019607843137255 , 0.07058823529411765
 1.1403508771929824 , 2.7485380116959064 , 2.152046783625731 , 1.0 , 4.823529411764706 , 0.32941176470588235 , 1.3119663865546216 , 0.5647058823529412 , 3.4382100743564465 , 0.0892156862745098 , 0.07058823529411765
 1.0914634146341464 , 2.725609756097561 , 2.176829268292683 , 1.0 , 4.670454545454546 , 0.3181818181818182 , 1.3474296536796535 , 0.5568181818181818 , 3.377347861694494 , 0.09375 , 0.06818181818181818
 1.1096774193548387 , 2.7161290322580647 , 2.174193548387097 , 1.0 , 4.6 , 0.3111111111111111 , 1.3795238095238096 , 0.5333333333333333 , 3.3654816767224505 , 0.09944444444444443 , 0.07777777777777778
 1.1111111111111112 , 2.712418300653595 , 2.176470588235294 , 1.0 , 4.527472527472527 , 0.3076923076923077 , 1.8313971742543174 , 0.5164835164835165 , 3.3628001588594154 , 0.07417582417582418 , 0.08791208791208792
